H_Seg_188;PtCount;694;Angle;5.54228;Min_pt;0.457848;Max_pt;0.511971;Average Height;0.4849095;Chair
H_Seg_191;PtCount;787;Angle;0.752515;Min_pt;0.755546;Max_pt;0.783861;Average Height;0.7697035;Desk
H_Seg_192;PtCount;801;Angle;178.249;Min_pt;3.2137;Max_pt;3.22377;Average Height;3.218735;Unknown
H_Seg_195;PtCount;2328;Angle;5.33146;Min_pt;0.351087;Max_pt;0.521861;Average Height;0.436474;Unknown
H_Seg_197;PtCount;1077;Angle;0.432959;Min_pt;0.771333;Max_pt;0.790348;Average Height;0.7808405;Desk
H_Seg_198;PtCount;3516;Angle;0.181308;Min_pt;0.767243;Max_pt;0.788559;Average Height;0.777901;Desk
H_Seg_199;PtCount;716;Angle;1.07575;Min_pt;0.014961;Max_pt;0.034847;Average Height;0.024904;Floor
H_Seg_200;PtCount;3392;Angle;179.941;Min_pt;0.746521;Max_pt;0.78722;Average Height;0.7668705;Desk
H_Seg_201;PtCount;554;Angle;0.111906;Min_pt;0.01373;Max_pt;0.0198491;Average Height;0.01678955;Floor
H_Seg_206;PtCount;2097;Angle;0.206534;Min_pt;0.003286;Max_pt;0.018509;Average Height;0.0108975;Floor
H_Seg_209;PtCount;9785;Angle;0.0484566;Min_pt;0.002074;Max_pt;0.030669;Average Height;0.0163715;Floor
H_Seg_211;PtCount;605;Angle;179.394;Min_pt;0.025336;Max_pt;0.0378361;Average Height;0.03158605;Floor
H_Seg_213;PtCount;2529;Angle;179.909;Min_pt;0.00932801;Max_pt;0.018783;Average Height;0.014055505;Floor
H_Seg_214;PtCount;1443;Angle;175.98;Min_pt;0.471652;Max_pt;0.535651;Average Height;0.5036515;Chair
H_Seg_216;PtCount;643;Angle;171.692;Min_pt;0.46863;Max_pt;0.535323;Average Height;0.5019765;Chair
H_Seg_219;PtCount;668;Angle;9.93068;Min_pt;0.460973;Max_pt;0.514452;Average Height;0.4877125;Chair
H_Seg_220;PtCount;2208;Angle;3.11081;Min_pt;0.431835;Max_pt;0.522125;Average Height;0.47698;Chair
H_Seg_222;PtCount;1419;Angle;179.677;Min_pt;0.764677;Max_pt;0.790312;Average Height;0.7774945;Desk
H_Seg_223;PtCount;1423;Angle;176.279;Min_pt;0.462283;Max_pt;0.534162;Average Height;0.4982225;Chair
H_Seg_225;PtCount;859;Angle;179.157;Min_pt;0.750985;Max_pt;0.785322;Average Height;0.7681535;Desk
H_Seg_227;PtCount;2210;Angle;178.723;Min_pt;0.422241;Max_pt;0.525123;Average Height;0.473682;Chair
H_Seg_231;PtCount;629;Angle;179.622;Min_pt;0.012553;Max_pt;0.0169871;Average Height;0.01477005;Floor
H_Seg_232;PtCount;18491;Angle;0.227282;Min_pt;0.0150831;Max_pt;0.030602;Average Height;0.02284255;Floor
H_Seg_236;PtCount;602;Angle;0.621496;Min_pt;0.00744605;Max_pt;0.022262;Average Height;0.014854025;Floor
H_Seg_238;PtCount;1200;Angle;179.806;Min_pt;0.010381;Max_pt;0.022594;Average Height;0.0164875;Floor
H_Seg_239;PtCount;2320;Angle;3.57473;Min_pt;0.454408;Max_pt;0.522615;Average Height;0.4885115;Chair
H_Seg_244;PtCount;1959;Angle;0.348866;Min_pt;0.00607002;Max_pt;0.013062;Average Height;0.00956601;Floor
H_Seg_245;PtCount;1242;Angle;179.764;Min_pt;0.782481;Max_pt;0.794716;Average Height;0.7885985;Desk
H_Seg_246;PtCount;764;Angle;2.8658;Min_pt;3.19487;Max_pt;3.22157;Average Height;3.20822;Unknown
H_Seg_248;PtCount;945;Angle;179.375;Min_pt;0.00317204;Max_pt;0.0201;Average Height;0.01163602;Floor
H_Seg_249;PtCount;1103;Angle;177.025;Min_pt;0.431625;Max_pt;0.513797;Average Height;0.472711;Chair
H_Seg_250;PtCount;1487;Angle;1.43081;Min_pt;0.398247;Max_pt;0.521268;Average Height;0.4597575;Chair
H_Seg_252;PtCount;570;Angle;0.899616;Min_pt;0.00594401;Max_pt;0.030346;Average Height;0.018145005;Floor
H_Seg_264;PtCount;1729;Angle;179.778;Min_pt;0.011247;Max_pt;0.015738;Average Height;0.0134925;Floor
H_Seg_267;PtCount;1091;Angle;0.205584;Min_pt;0.010601;Max_pt;0.016041;Average Height;0.013321;Floor
H_Seg_277;PtCount;649;Angle;2.32978;Min_pt;3.13974;Max_pt;3.16236;Average Height;3.15105;Unknown
H_Seg_279;PtCount;1362;Angle;7.59332;Min_pt;2.6062;Max_pt;2.64117;Average Height;2.623685;Unknown
H_Seg_281;PtCount;562;Angle;2.75889;Min_pt;3.1849;Max_pt;3.19378;Average Height;3.18934;Unknown
H_Seg_284;PtCount;957;Angle;179.697;Min_pt;3.48696;Max_pt;3.49724;Average Height;3.4921;Unknown
H_Seg_285;PtCount;869;Angle;0.257171;Min_pt;3.30919;Max_pt;3.31599;Average Height;3.31259;Unknown
